ticker,filed,form,fp,fy,revenue,net_income,eps_diluted,ocf,net_margin,ocf_margin,current_ratio,cash_to_lt_debt,roe
UCG.MI,2024-04-29,AR,FY,2023,25360000000.0,9507000000.0,5.045,-41128000000.0,0.3749,-1.6218,,,0.1484
UCG.MI,2025-04-30,AR,FY,2024,26579000000.0,9719000000.0,5.781,-7076000000.0,0.3657,-0.2662,,,0.1557
UCG.MI,2026-04-30,AR,FY,2025,25039000000.0,10915000000.0,6.89,8525000000.0,0.4359,0.3405,,,0.1612
UNI.MI,2023-04-30,AR,FY,2022,10000000000.0,525000000.0,0.73,1722000000.0,0.0525,0.1722,,0.39,0.0765
UNI.MI,2024-04-29,AR,FY,2023,12412000000.0,1101000000.0,1.53654,1537000000.0,0.0887,0.1238,,0.36,0.1382
UNI.MI,2025-04-30,AR,FY,2024,13177000000.0,1074000000.0,1.499641,2517000000.0,0.0815,0.191,,0.31,0.1152
UNI.MI,2026-04-30,AR,FY,2025,13713000000.0,1482000000.0,2.03,4593000000.0,0.1081,0.3349,,0.24,0.1426
LTMC.MI,2023-04-30,AR,FY,2022,1394862000.0,72119000.0,0.286607,412009000.0,0.0517,0.2954,0.95,0.13,1.4034
LTMC.MI,2024-04-29,AR,FY,2023,1632488000.0,67943000.0,0.29,407532000.0,0.0416,0.2496,1.82,0.15,0.1364
LTMC.MI,2025-04-30,AR,FY,2024,2004725000.0,98597000.0,0.391833,524338000.0,0.0492,0.2616,0.75,0.08,0.1904
LTMC.MI,2026-04-30,AR,FY,2025,2247116000.0,174295000.0,0.732225,635017000.0,0.0776,0.2826,0.49,0.07,0.5362
AC.PA,2023-04-30,AR,FY,2022,4224000000.0,402000000.0,1.39,511000000.0,0.0952,0.121,1.23,0.73,0.0795
AC.PA,2024-04-29,AR,FY,2023,5056000000.0,633000000.0,2.509024,669000000.0,0.1252,0.1323,0.98,0.68,0.1284
AC.PA,2025-04-30,AR,FY,2024,5606000000.0,610000000.0,2.33,733000000.0,0.1088,0.1308,1.05,0.49,0.1212
